PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME
01, 5502,5213230,102,N,0,4015,-122.396996,37.795415,10/6/2012 8:55:49.000000 AM
01, 5502,5213230,102,N,0,6314,-122.401551,37.79403,10/6/2012 8:58:11.000000 AM
01, 5502,5213230,102,N,0,6312,-122.409116,37.793043,10/6/2012 9:05:38.000000 AM
01, 5502,5213230,102,N,0,6311,-122.421146,37.791516,10/6/2012 9:11:04.000000 AM
01, 5502,5213230,102,N,0,6295,-122.434336,37.78984,10/6/2012 9:17:03.000000 AM
01, 5502,5213230,102,N,0,3892,-122.446908,37.787328,10/6/2012 9:20:29.000000 AM
01, 5502,5213230,102,N,0,3824,-122.464939,37.785017,10/6/2012 9:27:18.000000 AM
01, 5502,5213230,102,N,0,4277,-122.493227,37.779744,10/6/2012 9:37:39.000000 AM
01, 5633,5213231,105,N,0,4015,-122.396996,37.795415,10/6/2012 8:39:03.000000 AM
01, 5633,5213231,105,N,0,6314,-122.401551,37.79403,10/6/2012 8:42:12.000000 AM
01, 5633,5213231,105,N,0,6312,-122.409116,37.793043,10/6/2012 8:46:52.000000 AM
01, 5633,5213231,105,N,0,6311,-122.421146,37.791516,10/6/2012 8:51:58.000000 AM
01, 5633,5213231,105,N,0,6295,-122.434336,37.78984,10/6/2012 8:58:01.000000 AM
01, 5633,5213231,105,N,0,3892,-122.446908,37.787328,10/6/2012 9:04:08.000000 AM
01, 5633,5213231,105,N,0,3824,-122.464939,37.785017,10/6/2012 9:11:31.000000 AM
01, 5633,5213231,105,N,0,4277,-122.493227,37.779744,10/6/2012 9:22:01.000000 AM
01, 5504,5213232,101,N,0,4015,-122.396996,37.795415,10/6/2012 8:24:17.000000 AM
01, 5504,5213232,101,N,0,6314,-122.401551,37.79403,10/6/2012 8:27:07.000000 AM
01, 5504,5213232,101,N,0,6312,-122.409116,37.793043,10/6/2012 8:31:59.000000 AM
01, 5504,5213232,101,N,0,6311,-122.421146,37.791516,10/6/2012 8:36:58.000000 AM
01, 5504,5213232,101,N,0,6295,-122.434336,37.78984,10/6/2012 8:42:22.000000 AM
01, 5504,5213232,101,N,0,3892,-122.446908,37.787328,10/6/2012 8:48:34.000000 AM
01, 5504,5213232,101,N,0,3824,-122.464939,37.785017,10/6/2012 8:55:45.000000 AM
01, 5504,5213232,101,N,0,4277,-122.493227,37.779744,10/6/2012 9:06:32.000000 AM
01, 5600,5213233,104,N,0,4015,-122.396996,37.795415,10/6/2012 8:10:14.000000 AM
01, 5600,5213233,104,N,0,6314,-122.401551,37.79403,10/6/2012 8:12:54.000000 AM
01, 5600,5213233,104,N,0,6312,-122.409116,37.793043,10/6/2012 8:17:59.000000 AM
01, 5600,5213233,104,N,0,6311,-122.421146,37.791516,10/6/2012 8:22:52.000000 AM
01, 5600,5213233,104,N,0,6295,-122.434336,37.78984,10/6/2012 8:29:55.000000 AM
01, 5600,5213233,104,N,0,3892,-122.446908,37.787328,10/6/2012 8:35:35.000000 AM
01, 5600,5213233,104,N,0,3824,-122.464939,37.785017,10/6/2012 8:42:06.000000 AM
01, 5600,5213233,104,N,0,4277,-122.493227,37.779744,10/6/2012 8:53:53.000000 AM
01, 5628,5213234,106,N,0,4015,-122.396996,37.795415,10/6/2012 7:50:45.000000 AM
01, 5628,5213234,106,N,0,6314,-122.401551,37.79403,10/6/2012 7:52:41.000000 AM
01, 5628,5213234,106,N,0,6312,-122.409116,37.793043,10/6/2012 7:58:15.000000 AM
01, 5628,5213234,106,N,0,6311,-122.421146,37.791516,10/6/2012 8:04:15.000000 AM
01, 5628,5213234,106,N,0,6295,-122.434336,37.78984,10/6/2012 8:10:50.000000 AM
01, 5628,5213234,106,N,0,3892,-122.446908,37.787328,10/6/2012 8:16:07.000000 AM
01, 5628,5213234,106,N,0,3824,-122.464939,37.785017,10/6/2012 8:22:48.000000 AM
01, 5628,5213234,106,N,0,4277,-122.493227,37.779744,10/6/2012 8:34:16.000000 AM
01, 5502,5213236,102,N,0,4015,-122.396996,37.795415,10/6/2012 7:24:18.000000 AM
01, 5502,5213236,102,N,0,6314,-122.401551,37.79403,10/6/2012 7:26:50.000000 AM
01, 5502,5213236,102,N,0,6312,-122.409116,37.793043,10/6/2012 7:32:47.000000 AM
01, 5502,5213236,102,N,0,6311,-122.421146,37.791516,10/6/2012 7:38:13.000000 AM
01, 5502,5213236,102,N,0,6295,-122.434336,37.78984,10/6/2012 7:42:40.000000 AM
01, 5502,5213236,102,N,0,3892,-122.446908,37.787328,10/6/2012 7:47:57.000000 AM
01, 5502,5213236,102,N,0,3824,-122.464939,37.785017,10/6/2012 7:54:54.000000 AM
01, 5502,5213236,102,N,0,4277,-122.493227,37.779744,10/6/2012 8:03:18.000000 AM
01, 5633,5213237,105,N,0,4015,-122.396996,37.795415,10/6/2012 7:07:17.000000 AM
01, 5633,5213237,105,N,0,6314,-122.401551,37.79403,10/6/2012 7:09:49.000000 AM
