route,trip,longitude,latitude,scheduled_time,d_time
38L, 6205,-122.472423,37.780687,67680,196
38L, 6205,-122.493445,37.779798,68100,56
38L, 6205,-122.509411,37.779023,68400,76
38L, 6294,-122.40248,37.78849,65700,37
38L, 6294,-122.408391,37.787401,65940,75
38L, 6294,-122.420635,37.785843,66180,106
38L, 6294,-122.43305,37.784391,66480,102
38L, 6294,-122.446805,37.782509,66780,103
38L, 6294,-122.472423,37.780687,67320,-50
38L, 6294,-122.493445,37.779798,67740,-20
38L, 6294,-122.509411,37.779023,68040,-41
38L, 6215,-122.40248,37.78849,65400,162
38L, 6215,-122.408391,37.787401,65640,192
38L, 6215,-122.420635,37.785843,65880,248
38L, 6215,-122.43305,37.784391,66180,219
38L, 6215,-122.446805,37.782509,66480,203
38L, 6215,-122.472423,37.780687,67020,135
38L, 6215,-122.493445,37.779798,67440,109
38L, 6215,-122.509411,37.779023,67740,163
38L, 6257,-122.40248,37.78849,65040,150
38L, 6257,-122.408391,37.787401,65280,107
38L, 6257,-122.420635,37.785843,65520,130
38L, 6257,-122.43305,37.784391,65820,63
38L, 6257,-122.446805,37.782509,66120,282
38L, 6257,-122.472423,37.780687,66660,296
38L, 6257,-122.493445,37.779798,67080,269
38L, 6257,-122.509411,37.779023,67380,239
38L, 6273,-122.40248,37.78849,64680,189
38L, 6273,-122.408391,37.787401,64920,268
38L, 6273,-122.420635,37.785843,65160,364
38L, 6273,-122.43305,37.784391,65460,406
38L, 6273,-122.446805,37.782509,65760,503
38L, 6273,-122.472423,37.780687,66300,583
38L, 6273,-122.493445,37.779798,66720,575
38L, 6273,-122.509411,37.779023,67020,613
38L, 6225,-122.40248,37.78849,64380,408
38L, 6225,-122.408391,37.787401,64620,421
38L, 6225,-122.420635,37.785843,64860,626
38L, 6225,-122.43305,37.784391,65160,648
38L, 6225,-122.446805,37.782509,65460,761
38L, 6225,-122.472423,37.780687,66000,772
38L, 6225,-122.493445,37.779798,66420,791
38L, 6225,-122.509411,37.779023,66720,837
38L, 6403,-122.40248,37.78849,64020,-392
38L, 6227,-122.40248,37.78849,64020,44
38L, 6227,-122.408391,37.787401,64260,87
38L, 6403,-122.408391,37.787401,64260,-420
38L, 6227,-122.420635,37.785843,64500,66
