PUBLIC_ROUTE_NAME,TRIP_ID,BLOCK_NAME,LONGITUDE,LATITUDE,SCHEDULED_ARRIVAL_TIME
21,5224767,2101,-122.445679,37.773946,10/7/2012 8:27:00.838000 PM
21,5224767,2101,-122.453086,37.774872,10/7/2012 8:22:00.844000 PM
22,5316631,2203,-122.407646,37.765701,10/7/2012 7:02:00.490000 AM
22,5316631,2203,-122.436517,37.8024,10/7/2012 6:30:00.495000 AM
22,5316806,2204,-122.430347,37.772033,10/7/2012 4:12:00.912000 PM
22,5316806,2204,-122.403476,37.764817,10/7/2012 3:53:00.919000 PM
22,5316806,2204,-122.431687,37.77854,10/7/2012 4:17:00.923000 PM
22,5316806,2204,-122.428893,37.767384,10/7/2012 4:08:00.927000 PM
22,5316806,2204,-122.409812,37.76572,10/7/2012 3:56:00.930000 PM
22,5316806,2204,-122.388673,37.76059,10/7/2012 3:47:00.933000 PM
22,5316806,2204,-122.4196,37.765143,10/7/2012 4:01:00.936000 PM
22,5316806,2204,-122.433191,37.785994,10/7/2012 4:24:00.938000 PM
22,5316806,2204,-122.436517,37.8024,10/7/2012 4:38:00.941000 PM
22,5316806,2204,-122.437054,37.796785,10/7/2012 4:33:00.944000 PM
22,5316806,2204,-122.407669,37.765862,10/7/2012 3:55:00.946000 PM
KT,5251050,9410,-122.394036,37.776252,10/7/2012 10:21:00.250000 AM
KT,5251050,9410,-122.388489,37.78957,10/7/2012 10:15:00.256000 AM
KT,5251050,9410,-122.387479,37.749079,10/7/2012 10:30:00.263000 AM
KT,5251050,9410,-122.390859,37.73435,10/7/2012 10:36:00.269000 AM
KT,5251050,9410,-122.405055,37.70897,10/7/2012 10:48:00.275000 AM
KT,5251050,9410,-122.471446,37.734825,10/7/2012 9:51:00.282000 AM
KT,5251050,9410,-122.465846,37.740893,10/7/2012 9:54:00.292000 AM
KT,5251050,9410,-122.419193,37.775069,10/7/2012 10:06:00.298000 AM
KT,5251050,9410,-122.435231,37.762576,10/7/2012 10:01:00.304000 AM
KT,5251050,9410,-122.395644,37.722413,10/7/2012 10:42:00.310000 AM
KT,5251050,9410,-122.446651,37.720876,10/7/2012 9:36:00.316000 AM
KT,5251050,9410,-122.396396,37.793143,10/7/2012 10:12:00.322000 AM
KT,5251050,9410,-122.465777,37.74092,10/7/2012 9:55:00.328000 AM
24,5227351,2406,-122.439813,37.785338,10/7/2012 8:52:00.477000 AM
24,5227351,2406,-122.434934,37.760836,10/7/2012 8:38:00.483000 AM
24,5227351,2406,-122.436983,37.771329,10/7/2012 8:44:00.486000 AM
24,5227351,2406,-122.43881,37.7805,10/7/2012 8:49:00.489000 AM
24,5227351,2406,-122.433025,37.792716,10/7/2012 9:00:00.491000 AM
91,5244152,9101,-122.38846,37.76079,10/7/2012 3:51:01.965000 AM
91,5244152,9101,-122.402179,37.712226,10/7/2012 3:39:01.972000 AM
N,5245117,9703,-122.509201,37.760348,10/7/2012 7:45:00.578000 AM
N,5245117,9703,-122.509201,37.760348,10/7/2012 7:45:00.578000 AM
N,5245117,9703,-122.429133,37.769463,10/7/2012 7:18:00.587000 AM
N,5245117,9703,-122.495565,37.760912,10/7/2012 7:41:00.595000 AM
N,5245117,9703,-122.495565,37.760912,10/7/2012 7:41:00.595000 AM
N,5245117,9703,-122.476825,37.76174,10/7/2012 7:35:00.604000 AM
N,5245117,9703,-122.476825,37.76174,10/7/2012 7:35:00.604000 AM
N,5245117,9703,-122.456561,37.765003,10/7/2012 7:25:00.612000 AM
N,5245117,9703,-122.456561,37.765003,10/7/2012 7:25:00.612000 AM
J,5245305,9304,-122.446657,37.720899,10/7/2012 2:54:00.088000 PM
J,5245305,9304,-122.427254,37.769427,10/7/2012 3:22:00.095000 PM
J,5245305,9304,-122.426459,37.742222,10/7/2012 3:05:00.103000 PM
J,5245305,9304,-122.42735,37.751591,10/7/2012 3:10:00.111000 PM
J,5245305,9304,-122.429133,37.769463,10/7/2012 3:20:00.118000 PM
J,5245305,9304,-122.396396,37.793143,10/7/2012 3:30:00.124000 PM
J,5245305,9304,-122.419193,37.775069,10/7/2012 3:24:00.132000 PM
L,5250755,9508,-122.396431,37.793152,10/7/2012 3:18:00.689000 PM
L,5250755,9508,-122.396431,37.793152,10/7/2012 3:18:00.689000 PM
L,5250755,9508,-122.435289,37.762683,10/7/2012 3:29:00.696000 PM
L,5250755,9508,-122.435289,37.762683,10/7/2012 3:29:00.696000 PM
L,5250755,9508,-122.504351,37.736125,10/7/2012 3:54:00.702000 PM
L,5250755,9508,-122.504351,37.736125,10/7/2012 3:54:00.702000 PM
L,5250755,9508,-122.4658,37.740956,10/7/2012 3:36:00.709000 PM
L,5250755,9508,-122.4658,37.740956,10/7/2012 3:36:00.709000 PM
N,5245106,9703,-122.495565,37.760912,10/7/2012 9:36:00.090000 AM
N,5245106,9703,-122.495565,37.760912,10/7/2012 9:36:00.090000 AM
N,5245106,9703,-122.509201,37.760348,10/7/2012 9:40:00.096000 AM
N,5245106,9703,-122.509201,37.760348,10/7/2012 9:40:00.096000 AM
N,5245106,9703,-122.394364,37.776058,10/7/2012 8:55:00.102000 AM
N,5245106,9703,-122.394364,37.776058,10/7/2012 8:55:00.102000 AM
N,5245106,9703,-122.456561,37.765003,10/7/2012 9:20:00.108000 AM
N,5245106,9703,-122.456561,37.765003,10/7/2012 9:20:00.108000 AM
N,5245106,9703,-122.388489,37.78957,10/7/2012 9:00:00.114000 AM
N,5245106,9703,-122.396431,37.793152,10/7/2012 9:04:00.120000 AM
N,5245106,9703,-122.396431,37.793152,10/7/2012 9:04:00.120000 AM
N,5245106,9703,-122.39776,37.77314,10/7/2012 8:53:00.125000 AM
N,5245106,9703,-122.41934,37.775234,10/7/2012 9:10:00.131000 AM
N,5245106,9703,-122.41934,37.775234,10/7/2012 9:10:00.131000 AM
N,5245106,9703,-122.429133,37.769463,10/7/2012 9:13:00.137000 AM
N,5245106,9703,-122.476825,37.76174,10/7/2012 9:30:00.143000 AM
N,5245106,9703,-122.476825,37.76174,10/7/2012 9:30:00.143000 AM
J,5245124,9301,-122.41934,37.775234,10/7/2012 10:42:00.118000 AM
J,5245124,9301,-122.426528,37.742097,10/7/2012 10:59:00.125000 AM
J,5245124,9301,-122.429133,37.769463,10/7/2012 10:45:00.131000 AM
J,5245124,9301,-122.427497,37.7518,10/7/2012 10:55:00.137000 AM
J,5245124,9301,-122.396431,37.793152,10/7/2012 10:35:00.143000 AM
J,5245124,9301,-122.446657,37.720899,10/7/2012 11:10:00.148000 AM
L,5250755,9508,-122.465846,37.740893,10/7/2012 3:37:00.715000 PM
L,5250755,9508,-122.465846,37.740893,10/7/2012 3:37:00.715000 PM
L,5250755,9508,-122.41934,37.775234,10/7/2012 3:25:00.721000 PM
L,5250755,9508,-122.41934,37.775234,10/7/2012 3:25:00.721000 PM
108,5259659,1102,-122.37144,37.81622,10/7/2012 1:47:00.465000 PM
108,5259659,1102,-122.394244,37.789814,10/7/2012 1:40:00.471000 PM
108,5259659,1102,-122.371964,37.828311,10/7/2012 1:52:00.477000 PM
J,5245127,9302,-122.446657,37.720899,10/7/2012 11:55:00.513000 AM
J,5245127,9302,-122.396431,37.793152,10/7/2012 11:20:00.520000 AM
J,5245127,9302,-122.41934,37.775234,10/7/2012 11:27:00.525000 AM
J,5245127,9302,-122.426528,37.742097,10/7/2012 11:44:00.532000 AM
J,5245127,9302,-122.429133,37.769463,10/7/2012 11:30:00.538000 AM
J,5245127,9302,-122.427497,37.7518,10/7/2012 11:40:00.544000 AM
J,5245131,9306,-122.429133,37.769463,10/7/2012 12:30:00.966000 PM
